Date,Price,Open,High,Low,Vol.,Change %,Sort Order
07/08/2009,13.2,13.28,13.28,13.2,80.00K,-0.38%,3221
07/09/2009,13,13.18,13.18,13,44.00K,-1.52%,3220
07/13/2009,13,13,13,13,120.00K,0.00%,3219
07/14/2009,13,13,13,13,12.00K,0.00%,3218
07/15/2009,13,13,13,13,22.00K,0.00%,3217
07/16/2009,13,13,13,13,11.00K,0.00%,3216
07/17/2009,13,13,13,13,4.00K,0.00%,3215
07/20/2009,13.45,13.1,13.45,13.1,73.00K,3.46%,3214
07/21/2009,13.53,14,14,13.43,824.00K,0.59%,3213
07/22/2009,13.53,13.53,13.6,13.4,186.00K,0.00%,3212
07/23/2009,13.7,13.6,13.7,13.6,308.00K,1.26%,3211
07/24/2009,13.7,13.6,13.7,13.6,306.00K,0.00%,3210
07/27/2009,13.75,13.85,13.85,13.7,134.00K,0.36%,3209
07/28/2009,13.72,13.75,13.75,13.5,1.14M,-0.22%,3208
07/29/2009,13.65,13.7,13.7,13.65,204.00K,-0.51%,3207
07/30/2009,13.57,13.6,13.6,13.55,247.00K,-0.59%,3206
07/31/2009,13.57,13.5,13.6,13.5,71.00K,0.00%,3205
08/03/2009,13.5,13.6,13.6,13.5,16.00K,-0.52%,3204
08/06/2009,13.5,13.5,13.5,13.5,324.00K,0.00%,3203
08/07/2009,13.62,13.6,13.62,13.53,151.00K,0.89%,3202
08/10/2009,13.6,13.6,13.68,13.6,56.00K,-0.15%,3201
08/12/2009,13.6,13.6,13.6,13.6,107.00K,0.00%,3200
08/13/2009,13.6,13.7,13.7,13.6,39.00K,0.00%,3199
08/14/2009,13.65,13.6,13.7,13.6,234.00K,0.37%,3198
08/17/2009,13.9,13.9,13.9,13.9,2.00K,1.83%,3197
08/18/2009,13.88,13.7,13.9,13.7,179.00K,-0.14%,3196
08/19/2009,14,13.8,14,13.8,897.00K,0.86%,3195
08/20/2009,13.8,13.8,13.8,13.8,47.00K,-1.43%,3194
08/21/2009,13.9,13.9,13.9,13.9,4.00K,0.72%,3193
08/24/2009,13.9,13.9,13.9,13.9,,0.00%,3192
08/25/2009,13.9,13.9,13.9,13.9,,0.00%,3191
08/26/2009,13.7,13.8,13.8,13.7,112.00K,-1.44%,3190
08/27/2009,13.7,13.7,13.75,13.7,214.00K,0.00%,3189
08/28/2009,13.9,13.9,13.9,13.9,1.00K,1.46%,3188
08/31/2009,13.65,13.7,13.7,13.6,12.00K,-1.80%,3187
09/01/2009,13.7,13.7,13.7,13.7,1.00K,0.37%,3186
09/02/2009,14,13.8,14.15,13.8,1.65M,2.19%,3185
09/03/2009,13.97,14,14,13.7,248.00K,-0.21%,3184
09/07/2009,13.97,13.97,14,13.97,245.00K,0.00%,3183
09/08/2009,14.1,14.12,14.2,14,1.66M,0.93%,3182
09/09/2009,14.32,14.35,14.5,14.25,358.00K,1.56%,3181
09/10/2009,14.47,14.5,14.5,14.3,159.00K,1.05%,3180
09/11/2009,14.72,14.5,14.75,14.3,187.00K,1.73%,3179
09/14/2009,14.95,14.85,15,14.8,297.00K,1.56%,3178
09/15/2009,14.85,14.85,14.85,14.85,3.00K,-0.67%,3177
09/16/2009,14.95,14.9,14.97,14.85,907.00K,0.67%,3176
09/17/2009,15.1,15,15.2,15,1.53M,1.00%,3175
09/18/2009,15.35,15.4,15.4,15.1,329.00K,1.66%,3174
09/22/2009,15.38,15.3,15.4,15.3,408.00K,0.20%,3173
09/23/2009,15.38,15.38,15.4,15.38,142.00K,0.00%,3172
09/24/2009,15.2,15.4,15.45,15.2,297.00K,-1.17%,3171
09/25/2009,15.22,15.2,15.38,15.2,104.00K,0.13%,3170
09/28/2009,15.25,15.3,15.35,15.25,40.00K,0.20%,3169
09/29/2009,15.3,15.3,15.3,15.25,425.00K,0.33%,3168
09/30/2009,15.4,15.25,15.4,15.25,278.00K,0.65%,3167
10/01/2009,15.47,15.3,15.5,15.3,857.00K,0.45%,3166
10/02/2009,15.5,15.5,15.6,15.5,206.00K,0.19%,3165
10/05/2009,15.5,15.55,15.55,15.5,250.00K,0.00%,3164
10/06/2009,16,15.4,16.3,15.4,787.00K,3.23%,3163
