Date,Price,Open,High,Low,Vol.,Change %,Sorting order
07/09/2009,50,50,50,50,0.50K,-1.48%,2480
07/16/2009,50.75,51,55,50,19.80K,1.50%,2479
07/17/2009,52,52,52,51.75,1.90K,2.46%,2478
07/20/2009,53.25,53,54,53,0.50K,2.40%,2477
07/24/2009,51.25,51,51.75,51,0.70K,-3.76%,2476
07/27/2009,51,51,51,51,0.80K,-0.49%,2475
07/28/2009,51,51,51,51,3.20K,0.00%,2474
07/29/2009,50.5,51,51,50.5,400.00K,-0.98%,2473
07/30/2009,48.5,48.5,48.5,48.25,0.20K,-3.96%,2472
07/31/2009,48.5,48.5,48.5,48.5,5.70K,0.00%,2471
08/04/2009,51.75,51.75,51.75,51.75,0.20K,6.70%,2470
08/06/2009,52,52,52,52,0.20K,0.48%,2469
08/07/2009,51.75,51.75,51.75,51.75,0.20K,-0.48%,2468
08/10/2009,50,48.5,51.5,48.5,0.70K,-3.38%,2467
08/11/2009,50,48.5,50,48.5,0.70K,0.00%,2466
08/12/2009,50,50,50,50,0.40K,0.00%,2465
08/13/2009,50,50,50,50,24.00K,0.00%,2464
08/14/2009,52.5,50,53.75,50,22.70K,5.00%,2463
08/17/2009,52.5,52.5,52.5,52.5,,0.00%,2462
08/18/2009,50,53,53.25,50,117.70K,-4.76%,2461
08/19/2009,52.5,52.5,52.5,52.5,1.10K,5.00%,2460
08/20/2009,52.5,52.5,52.5,52.5,,0.00%,2459
08/21/2009,50,50,50,50,3.00K,-4.76%,2458
08/24/2009,51,51,51,51,0.60K,2.00%,2457
08/25/2009,52.5,51.25,54,51.25,19.30K,2.94%,2456
08/26/2009,51.5,52.75,53,51.5,1.50K,-1.90%,2455
08/27/2009,52,52,52,52,333.20K,0.97%,2454
08/28/2009,50,53.75,53.75,50,6.10K,-3.85%,2453
08/31/2009,52,52,53,52,1.10K,4.00%,2452
09/01/2009,53,52,53,52,86.40K,1.92%,2451
09/02/2009,50,50,50,50,0.80K,-5.66%,2450
09/03/2009,49.25,49.5,49.5,49.25,4.20K,-1.50%,2449
09/07/2009,49.25,49.25,49.25,49.25,,0.00%,2448
09/08/2009,52,50,52,50,12.40K,5.58%,2447
09/09/2009,53,53,53,53,0.20K,1.92%,2446
09/10/2009,53,51,53,51,0.70K,0.00%,2445
09/11/2009,53,52,53,51,3.40K,0.00%,2444
09/14/2009,53,53,54,52,16.30K,0.00%,2443
09/15/2009,55,55,55,55,0.50K,3.77%,2442
09/16/2009,53.25,53,55,53,23.00K,-3.18%,2441
09/17/2009,53,53.25,55,53,9.60K,-0.47%,2440
09/18/2009,53,53,53,53,,0.00%,2439
09/22/2009,53,54.5,54.5,53,1.40K,0.00%,2438
09/23/2009,50.75,50.5,50.75,50.5,1.30K,-4.25%,2437
09/24/2009,50.5,50.5,50.5,50.5,0.20K,-0.49%,2436
09/25/2009,50.75,50.75,50.75,50.75,1.00K,0.50%,2435
