Date,Price,Open,High,Low,Vol.,Change %,Sorting order
01/05/2010,3.36,3.46,3.64,3.36,5.92M,-2.89%,3086
01/06/2010,3.08,3.36,3.36,3.08,7.24M,-8.33%,3085
01/07/2010,3.08,3.18,3.18,2.9,2.17M,0.00%,3084
01/08/2010,3.27,2.99,3.27,2.99,3.29M,6.17%,3083
01/11/2010,3.18,3.27,3.27,3.08,791.06K,-2.75%,3082
01/12/2010,3.08,3.18,3.18,2.99,1.48M,-3.14%,3081
01/13/2010,3.08,3.08,3.18,2.99,1.37M,0.00%,3080
01/15/2010,3.08,3.08,3.18,3.08,1.19M,0.00%,3079
01/18/2010,3.27,3.18,3.27,3.18,8.51M,6.17%,3078
01/19/2010,3.18,3.27,3.27,3.18,879.49K,-2.75%,3077
01/20/2010,3.27,3.27,3.36,3.18,3.02M,2.83%,3076
01/21/2010,3.27,3.36,3.36,3.18,791.06K,0.00%,3075
01/22/2010,3.27,3.27,3.36,3.18,859.58K,0.00%,3074
01/25/2010,3.27,3.27,3.36,3.27,171.29K,0.00%,3073
01/26/2010,3.27,3.27,3.36,3.27,1.14M,0.00%,3072
01/28/2010,3.27,3.27,3.36,3.18,1.14M,0.00%,3071
02/01/2010,3.27,3.27,3.36,3.27,496.00K,0.00%,3070
02/02/2010,3.18,3.27,3.27,3.18,774.14K,-2.75%,3069
02/03/2010,3.18,3.18,3.27,3.18,83.51K,0.00%,3068
02/05/2010,3.18,3.27,3.27,3.18,4.16M,0.00%,3067
02/08/2010,3.18,3.18,3.18,3.18,352.12K,0.00%,3066
02/09/2010,3.18,3.18,3.27,3.18,890.30K,0.00%,3065
02/10/2010,3.18,3.18,3.18,3.18,385.95K,0.00%,3064
02/11/2010,3.08,3.18,3.18,3.08,421.60K,-3.14%,3063
02/12/2010,3.08,3.08,3.18,3.08,124.72K,0.00%,3062
02/15/2010,3.08,3.18,3.18,3.08,183.82K,0.00%,3061
02/16/2010,2.99,3.18,3.18,2.99,672.22K,-2.92%,3060
02/17/2010,3.08,3.08,3.18,2.99,469.24K,3.01%,3059
02/18/2010,2.99,3.08,3.18,2.99,216.47K,-2.92%,3058
02/19/2010,3.08,3.18,3.18,2.99,118.41K,3.01%,3057
02/22/2010,3.08,3.08,3.18,2.99,464.42K,0.00%,3056
02/23/2010,3.08,3.08,3.18,3.08,165.19K,0.00%,3055
02/24/2010,3.08,3.08,3.18,2.99,1.05M,0.00%,3054
02/25/2010,3.08,3.18,3.18,3.08,277.18K,0.00%,3053
02/26/2010,3.08,3.08,3.18,3.08,42.61K,0.00%,3052
03/01/2010,3.08,3.08,3.08,3.08,303.08K,0.00%,3051
03/02/2010,3.08,3.08,3.18,3.08,318.39K,0.00%,3050
03/03/2010,3.08,3.08,3.18,2.99,201.49K,0.00%,3049
03/04/2010,3.08,3.08,3.18,3.08,330.60K,0.00%,3048
03/05/2010,3.18,3.08,3.18,3.08,162.62K,3.25%,3047
03/08/2010,3.08,3.08,3.18,3.08,174.93K,-3.14%,3046
03/09/2010,3.08,3.08,3.18,3.08,242.27K,0.00%,3045
03/10/2010,3.08,3.08,3.18,2.99,520.41K,0.00%,3044
03/11/2010,3.08,3.08,3.18,3.08,174.40K,0.00%,3043
03/12/2010,3.08,3.08,3.08,3.08,260.80K,0.00%,3042
03/15/2010,3.08,3.08,3.18,3.08,303.94K,0.00%,3041
03/16/2010,3.08,3.08,3.18,3.08,727.04K,0.00%,3040
03/17/2010,3.08,3.08,3.08,3.08,842.02K,0.00%,3039
03/18/2010,2.99,3.08,3.08,2.99,416.78K,-2.92%,3038
03/19/2010,3.08,3.08,3.18,2.99,1.86M,3.01%,3037
03/22/2010,3.08,3.08,3.18,2.99,1.25M,0.00%,3036
03/23/2010,2.99,3.08,3.18,2.99,351.37K,-2.92%,3035
03/24/2010,2.99,2.99,3.08,2.99,17.88K,0.00%,3034
03/25/2010,3.08,2.99,3.08,2.99,282.74K,3.01%,3033
03/26/2010,3.08,2.99,3.18,2.99,1.42M,0.00%,3032
03/30/2010,3.18,3.18,3.27,3.08,1.56M,3.25%,3031
03/31/2010,3.08,3.08,3.18,3.08,290.67K,-3.14%,3030
04/01/2010,3.08,3.18,3.27,3.08,641.07K,0.00%,3029
04/05/2010,3.08,3.08,3.18,3.08,77.73K,0.00%,3028
04/06/2010,3.18,3.08,3.18,3.08,1.88M,3.25%,3027
04/07/2010,3.08,3.18,3.27,3.08,204.27K,-3.14%,3026
04/08/2010,3.18,3.18,3.18,3.08,41.75K,3.25%,3025
04/12/2010,3.18,3.18,3.27,3.18,588.07K,0.00%,3024
04/15/2010,3.18,3.18,3.27,3.18,646.10K,0.00%,3023
04/16/2010,3.18,3.18,3.27,3.18,77.51K,0.00%,3022
04/19/2010,3.36,3.27,3.55,3.27,5.30M,5.66%,3021
04/20/2010,3.36,3.36,3.36,3.27,1.93M,0.00%,3020
04/21/2010,3.36,3.36,3.46,3.27,1.46M,0.00%,3019
04/22/2010,3.46,3.36,3.55,3.36,1.61M,2.98%,3018
04/23/2010,3.46,3.46,3.55,3.36,1.13M,0.00%,3017
04/26/2010,3.55,3.55,3.64,3.55,6.26M,2.60%,3016
04/27/2010,3.55,3.55,3.64,3.55,886.88K,0.00%,3015
04/29/2010,3.55,3.55,3.64,3.55,2.24M,0.00%,3014
04/30/2010,3.55,3.55,3.64,3.55,867.50K,0.00%,3013
05/03/2010,3.55,3.55,3.64,3.55,419.14K,0.00%,3012
05/04/2010,3.55,3.55,3.55,3.46,1.24M,0.00%,3011
05/05/2010,3.46,3.46,3.55,3.46,331.13K,-2.54%,3010
05/06/2010,3.46,3.55,3.55,3.46,175.58K,0.00%,3009
05/07/2010,3.46,3.55,3.55,3.46,131.90K,0.00%,3008
05/11/2010,3.74,3.74,3.83,3.64,3.31M,8.09%,3007
05/12/2010,3.64,3.64,3.74,3.64,268.72K,-2.67%,3006
05/13/2010,3.64,3.64,3.74,3.64,190.46K,0.00%,3005
05/14/2010,3.74,3.64,3.74,3.64,1.04M,2.75%,3004
05/17/2010,3.83,3.74,3.92,3.74,8.12M,2.41%,3003
05/18/2010,3.74,3.83,3.92,3.74,637.43K,-2.35%,3002
05/19/2010,3.74,3.74,3.74,3.64,600.71K,0.00%,3001
05/20/2010,3.74,3.74,3.74,3.64,134.57K,0.00%,3000
05/21/2010,3.74,3.74,3.92,3.64,1.74M,0.00%,2999
05/24/2010,3.64,3.74,3.74,3.64,347.09K,-2.67%,2998
05/25/2010,3.64,3.74,3.74,3.64,517.84K,0.00%,2997
05/26/2010,3.92,3.74,3.92,3.74,4.03M,7.69%,2996
05/31/2010,3.83,3.92,4.11,3.83,3.83M,-2.30%,2995
06/01/2010,3.83,3.92,4.02,3.83,415.28K,0.00%,2994
06/02/2010,3.83,3.83,3.92,3.83,364.00K,0.00%,2993
06/03/2010,4.02,3.92,4.02,3.92,3.01M,4.96%,2992
06/04/2010,4.02,4.02,4.02,3.92,1.29M,0.00%,2991
06/07/2010,3.83,3.92,3.92,3.83,430.81K,-4.73%,2990
06/08/2010,3.92,3.92,3.92,3.83,1.33M,2.35%,2989
06/09/2010,3.92,3.92,3.92,3.92,759.58K,0.00%,2988
06/10/2010,3.83,3.92,3.92,3.83,92.07K,-2.30%,2987
06/11/2010,3.83,3.83,3.92,3.83,663.87K,0.00%,2986
06/14/2010,3.92,3.92,4.2,3.83,836.77K,2.35%,2985
06/15/2010,3.83,3.92,3.92,3.74,1.02M,-2.30%,2984
06/16/2010,3.74,3.92,3.92,3.74,2.92M,-2.35%,2983
06/17/2010,3.74,3.83,3.83,3.74,1.27M,0.00%,2982
06/21/2010,3.74,3.83,3.83,3.74,1.06M,0.00%,2981
06/22/2010,3.74,3.74,3.83,3.64,1.95M,0.00%,2980
06/23/2010,3.74,3.74,3.74,3.64,498.36K,0.00%,2979
06/24/2010,3.74,3.64,3.74,3.64,106.10K,0.00%,2978
06/28/2010,3.64,3.74,3.74,3.64,476.52K,-2.67%,2977
06/29/2010,3.83,3.74,3.92,3.74,746.09K,5.22%,2976
06/30/2010,3.83,3.83,4.02,3.74,2.25M,0.00%,2975
07/01/2010,3.83,3.92,3.92,3.83,86.72K,0.00%,2974
07/02/2010,3.92,3.92,4.02,3.83,498.25K,2.35%,2973
07/05/2010,3.74,3.83,3.92,3.74,905.08K,-4.59%,2972
07/06/2010,3.74,3.74,3.74,3.74,596.85K,0.00%,2971
07/07/2010,3.64,3.74,3.74,3.55,2.32M,-2.67%,2970
07/08/2010,3.64,3.64,3.74,3.55,169.15K,0.00%,2969
07/09/2010,3.64,3.64,3.74,3.64,59.74K,0.00%,2968
07/12/2010,3.74,3.74,3.74,3.64,59.53K,2.75%,2967
07/13/2010,3.83,3.74,3.83,3.74,702.20K,2.41%,2966
07/14/2010,3.74,3.83,3.83,3.74,23.87K,-2.35%,2965
07/15/2010,3.74,3.83,3.83,3.74,52.78K,0.00%,2964
