Date,Price,Open,High,Low,Vol.,Change %,Sorting order
07/08/2009,13.75,13.75,13.75,13.75,1.20K,0.00%,3141
07/13/2009,13.25,13.5,13.5,13.25,7.40K,-3.64%,3140
07/14/2009,13.5,13.25,13.5,13.25,2.80K,1.89%,3139
07/15/2009,13.5,13.75,13.75,13.5,3.10K,0.00%,3138
07/16/2009,14.25,13.75,14.75,13.75,12.30K,5.56%,3137
07/17/2009,13.75,13.75,13.75,13.75,2.00K,-3.51%,3136
07/20/2009,14,14,14,14,2.70K,1.82%,3135
07/21/2009,14,14,14,13.75,58.80K,0.00%,3134
07/22/2009,13.51,13.75,13.75,13.5,36.10K,-3.50%,3133
07/23/2009,13.25,13.25,13.25,13.25,5.90K,-1.92%,3132
07/24/2009,14.75,14.25,14.75,14.25,50.20K,11.32%,3131
07/27/2009,14.5,14.5,14.5,14.5,4.50K,-1.69%,3130
07/28/2009,14.25,14.5,14.5,14.25,0.40K,-1.72%,3129
07/29/2009,13,13.25,13.25,13,2.50K,-8.77%,3128
07/30/2009,13.5,13.5,13.5,13.5,1.40K,3.85%,3127
07/31/2009,13.25,13.25,13.25,13.25,6.50K,-1.85%,3126
08/03/2009,13.5,13.5,13.5,13.5,2.10K,1.89%,3125
08/04/2009,13.75,13.5,14,13.5,12.10K,1.85%,3124
08/06/2009,13.75,13.75,13.75,13.75,4.10K,0.00%,3123
08/07/2009,13.75,13.75,13.75,13.75,3.00K,0.00%,3122
08/10/2009,14.5,14,14.75,14,63.10K,5.45%,3121
08/11/2009,14,14,14,14,0.80K,-3.45%,3120
08/13/2009,13.5,13.5,13.5,13.5,2.50K,-3.57%,3119
08/14/2009,14,14,14,14,0.80K,3.70%,3118
08/17/2009,13.5,13.5,13.5,13.5,1.10K,-3.57%,3117
08/18/2009,13.5,13.5,13.5,13.5,1.60K,0.00%,3116
08/19/2009,13.5,13.5,13.5,13.25,39.90K,0.00%,3115
08/20/2009,13.5,13.5,13.5,13.5,1.40K,0.00%,3114
08/21/2009,13.75,13.75,14,13.75,2.20K,1.85%,3113
08/24/2009,14,14.25,14.5,14,44.40K,1.82%,3112
08/25/2009,14,14,14,14,14.90K,0.00%,3111
08/26/2009,13.75,13.75,13.75,13.75,0.80K,-1.79%,3110
08/27/2009,13.75,13.75,13.75,13.75,,0.00%,3109
08/28/2009,14,13.75,14,13.75,1.20K,1.82%,3108
08/31/2009,14.5,14.25,14.75,14.25,104.40K,3.57%,3107
09/01/2009,14.25,14.5,14.5,14.25,4.00K,-1.72%,3106
09/02/2009,14.5,14.25,14.5,14.25,37.50K,1.75%,3105
09/03/2009,15,14.5,15.25,14.5,64.30K,3.45%,3104
09/07/2009,15,15,15.25,15,17.90K,0.00%,3103
09/08/2009,15.25,15,15.5,15,31.40K,1.67%,3102
09/09/2009,15,15,15.25,15,17.10K,-1.64%,3101
09/10/2009,15,15,15.5,15,17.00K,0.00%,3100
09/11/2009,15.25,15.5,15.5,15,32.90K,1.67%,3099
09/14/2009,15,15,15.75,15,50.00K,-1.64%,3098
09/15/2009,15.25,15.25,15.25,15.25,1.10K,1.67%,3097
09/16/2009,15.25,15.25,15.25,15.25,2.90K,0.00%,3096
09/17/2009,15.25,15.5,15.5,15.25,2.20K,0.00%,3095
09/18/2009,15.25,15.25,15.25,15.25,1.70K,0.00%,3094
09/22/2009,15.5,15.5,15.5,15.5,1.30K,1.64%,3093
09/23/2009,15,15.25,15.25,15,55.50K,-3.23%,3092
09/24/2009,15.25,15.25,15.25,15.25,10.00K,1.67%,3091
09/25/2009,15.25,15.25,15.25,15.25,0.60K,0.00%,3090
09/28/2009,15.5,15,16.25,15,80.70K,1.64%,3089
09/29/2009,15.5,15.25,15.5,15.25,2.10K,0.00%,3088
09/30/2009,15.75,15.5,15.75,15.5,1.50K,1.61%,3087
10/01/2009,15.75,15.5,15.75,15.5,23.80K,0.00%,3086
10/02/2009,16,15.75,16,15.75,28.80K,1.59%,3085
10/05/2009,16.5,15.75,16.5,15.75,37.80K,3.13%,3084
10/06/2009,17.75,16.25,18.25,16.25,43.80K,7.58%,3083
10/07/2009,18.75,18,19,18,26.90K,5.63%,3082
10/08/2009,18,18.75,18.75,18,4.60K,-4.00%,3081
10/09/2009,17,17,17,17,0.10K,-5.56%,3080
10/12/2009,17,16.25,17,16.25,1.10K,0.00%,3079
10/13/2009,17.5,18.5,18.5,17.5,1.70K,2.94%,3078
10/14/2009,18.75,19,20,18,7.00K,7.14%,3077
10/15/2009,18,19.5,19.5,18,15.30K,-4.00%,3076
10/16/2009,18,19,19,18,4.90K,0.00%,3075
10/19/2009,17.75,17.5,17.75,17,7.80K,-1.39%,3074
10/20/2009,17,17,17.5,16.5,4.90K,-4.23%,3073
10/21/2009,17.75,16.25,17.75,16.25,7.00K,4.41%,3072
10/22/2009,17.75,16.75,18.25,16.75,26.60K,0.00%,3071
10/23/2009,18,18,18.25,18,15.10K,1.41%,3070
10/26/2009,18.5,18.25,18.75,18.25,16.40K,2.78%,3069
10/27/2009,18,18,18.25,18,37.20K,-2.70%,3068
10/28/2009,18,18,18,18,30.00K,0.00%,3067
10/29/2009,18.75,18.75,19,18.5,8.80K,4.17%,3066
10/30/2009,18,19,19,18,17.00K,-4.00%,3065
11/03/2009,18,18,18,17.75,6.40K,0.00%,3064
11/04/2009,18,18,18.75,18,64.40K,0.00%,3063
11/05/2009,17.75,18,18,17.75,3.30K,-1.39%,3062
11/06/2009,18.5,18.5,19,18,16.40K,4.23%,3061
11/09/2009,18.25,18,19,18,44.40K,-1.35%,3060
11/10/2009,18,18.5,18.75,18,5.50K,-1.37%,3059
11/11/2009,18,18,18.25,18,10.20K,0.00%,3058
11/12/2009,18,18,18.5,18,21.20K,0.00%,3057
11/13/2009,18.25,18.5,18.5,18,49.10K,1.39%,3056
11/16/2009,18,19,19,18,27.00K,-1.37%,3055
11/17/2009,18.75,18,18.75,18,79.40K,4.17%,3054
11/18/2009,18.5,18.75,18.75,18.5,7.90K,-1.33%,3053
11/19/2009,18.5,18.75,18.75,18.5,34.30K,0.00%,3052
11/20/2009,18.25,18.25,18.5,18,37.50K,-1.35%,3051
11/23/2009,18.25,18.25,18.25,18.25,,0.00%,3050
11/24/2009,17.5,18,18.25,17.5,22.50K,-4.11%,3049
11/25/2009,17,17,17,17,2.00K,-2.86%,3048
11/26/2009,17.5,17,17.5,17,2.50K,2.94%,3047
11/27/2009,18,17.75,18,17.75,18.40K,2.86%,3046
11/30/2009,19,18,19.25,18,268.80K,5.56%,3045
12/02/2009,20.25,18.5,21,18.5,158.50K,6.58%,3044
12/03/2009,25.75,21,26.5,21,525.10K,27.16%,3043
12/04/2009,27.75,26.75,28.5,26,553.10K,7.77%,3042
12/07/2009,26.5,28,28,26.25,105.40K,-4.50%,3041
12/08/2009,25,26.5,26.5,25,124.40K,-5.66%,3040
12/09/2009,27.25,25.5,27.75,25.5,350.80K,9.00%,3039
12/10/2009,27,27.25,27.75,26.75,158.00K,-0.92%,3038
12/11/2009,28.25,27.5,28.75,26.75,212.80K,4.63%,3037
12/14/2009,28,28.75,29,27.5,90.70K,-0.88%,3036
12/15/2009,27.5,28,28.5,27.5,5.00K,-1.79%,3035
12/16/2009,26.75,26.75,26.75,26.75,15.90K,-2.73%,3034
12/17/2009,27.5,27.5,28.25,27,56.30K,2.80%,3033
12/18/2009,27,27.5,27.5,27,7.90K,-1.82%,3032
12/21/2009,26.75,27.5,27.5,26.5,17.40K,-0.93%,3031
12/22/2009,27,27,27.25,27,7.70K,0.93%,3030
12/23/2009,27.75,27.25,27.75,27.25,83.00K,2.78%,3029
12/24/2009,27,27,27,27,3.40K,-2.70%,3028
12/28/2009,27,27.75,27.75,27,14.50K,0.00%,3027
12/29/2009,27,27,27,27,,0.00%,3026
12/30/2009,27.75,26,28,26,85.10K,2.78%,3025
01/04/2010,28.25,28.25,28.5,27.75,57.30K,1.80%,3024
01/05/2010,28.5,28,29,28,111.90K,0.88%,3023
01/06/2010,28,28.5,28.5,28,10.10K,-1.75%,3022
01/07/2010,27.5,28,28.5,27.5,13.00K,-1.79%,3021
01/08/2010,27.75,28,28,27.75,22.80K,0.91%,3020
01/11/2010,27.5,28,28,27.25,24.80K,-0.90%,3019
01/12/2010,26.75,26.75,27,26.75,3.40K,-2.73%,3018
01/13/2010,26.75,26.75,26.75,26.75,,0.00%,3017
01/15/2010,27.75,26.5,28,26.5,26.80K,3.74%,3016
01/18/2010,27,26,27.5,26,38.60K,-2.70%,3015
01/19/2010,28,27,28.25,26.25,125.10K,3.70%,3014
01/20/2010,28.75,28.25,29.5,28.25,255.40K,2.68%,3013
01/21/2010,27.75,28.75,29,27.75,22.20K,-3.48%,3012
01/22/2010,28,28,28,28,11.00K,0.90%,3011
01/25/2010,28,28,29.25,28,29.40K,0.00%,3010
01/26/2010,29,29.25,29.25,29,20.20K,3.57%,3009
01/28/2010,28.5,29,29,28.5,25.40K,-1.72%,3008
02/01/2010,28.5,28.5,29,28,70.90K,0.00%,3007
02/02/2010,28.75,28.5,29,28.5,26.70K,0.88%,3006
02/03/2010,28,28,29,27,56.80K,-2.61%,3005
02/05/2010,27,27,27,26.75,4.60K,-3.57%,3004
02/08/2010,27,27,27,27,1.00K,0.00%,3003
02/09/2010,26.25,27.5,28,26,2.70K,-2.78%,3002
02/10/2010,26,26,26,26,0.40K,-0.95%,3001
02/11/2010,27.5,26,28,25,7.20K,5.77%,3000
02/12/2010,28,29,29,28,0.80K,1.82%,2999
02/15/2010,28.25,29,29.5,28,57.30K,0.89%,2998
